id,date,daste,zirdaste,mablagh,name
0,1397-01-12,Ghabz,Water,266,"['id4', 'id3', 'id5', 'id10', 'id1', 'id8', 'id9']"
1,1397-02-14,Ghabz,Water,283,"['id1', 'id7', 'id2', 'id4', 'id6', 'id8', 'id9', 'id5']"
2,1397-03-14,Ghabz,Water,230,"['id5', 'id6', 'id3', 'id1']"
3,1397-04-09,Ghabz,Water,211,"['id9', 'id2', 'id7', 'id1', 'id6', 'id10', 'id5']"
4,1397-05-11,Ghabz,Water,193,"['id3', 'id5', 'id4', 'id9', 'id2', 'id1', 'id10', 'id7']"
5,1397-06-11,Ghabz,Water,188,"['id2', 'id6', 'id9', 'id1', 'id3', 'id5', 'id10', 'id7', 'id4', 'id8']"
6,1397-07-08,Ghabz,Water,250,"['id6', 'id2', 'id5', 'id8', 'id10']"
7,1397-08-07,Ghabz,Water,275,"['id7', 'id10', 'id9', 'id3']"
8,1397-09-07,Ghabz,Water,321,"['id8', 'id1', 'id10', 'id3', 'id6', 'id9', 'id2']"
9,1397-10-08,Ghabz,Water,438,"['id1', 'id8', 'id7', 'id6', 'id2', 'id9', 'id5', 'id3']"
10,1397-11-09,Ghabz,Water,346,"['id1', 'id5', 'id9', 'id3', 'id7', 'id6', 'id2', 'id8']"
11,1397-12-05,Ghabz,Water,381,"['id7', 'id5', 'id6', 'id4', 'id10', 'id8']"
12,1398-01-07,Ghabz,Water,327,"['id7', 'id5', 'id4', 'id2', 'id10', 'id8']"
13,1398-02-10,Ghabz,Water,212,"['id3', 'id10', 'id7', 'id5', 'id6', 'id2', 'id4', 'id9', 'id1']"
14,1398-03-09,Ghabz,Water,451,"['id8', 'id6', 'id2']"
15,1398-04-08,Ghabz,Water,329,"['id8', 'id3', 'id2', 'id5', 'id6', 'id9']"
16,1398-05-07,Ghabz,Water,248,[]
17,1398-06-05,Ghabz,Water,371,"['id2', 'id4']"
18,1398-07-03,Ghabz,Water,395,"['id9', 'id6', 'id3', 'id8', 'id1', 'id7', 'id4']"
19,1398-08-02,Ghabz,Water,419,"['id7', 'id6', 'id3', 'id1', 'id2', 'id5', 'id4', 'id9', 'id10', 'id8']"
20,1398-09-01,Ghabz,Water,282,"['id1', 'id3', 'id9', 'id2', 'id5', 'id8']"
21,1398-09-30,Ghabz,Water,436,"['id9', 'id7', 'id3']"
22,1398-11-01,Ghabz,Water,352,"['id9', 'id5', 'id6', 'id10', 'id8', 'id3']"
23,1398-12-03,Ghabz,Water,311,"['id2', 'id4', 'id5', 'id3']"
24,1399-01-01,Ghabz,Water,272,"['id5', 'id4', 'id1', 'id8', 'id2', 'id3', 'id6']"
